fecha,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,24.3,21.1,26.5,0,,,17.4,,1013.2,
2024-01-02 00:00:00,23.7,19.6,27.2,4.1,,,21.1,,1013.1,
2024-01-03 00:00:00,24.1,22.2,26.3,1.4,,,26.6,,1015.5,
2024-01-04 00:00:00,24.6,22,27.5,0,,,23,,1015.8,
2024-01-05 00:00:00,25.4,22.5,28.5,0,,,17.8,,1013,
2024-01-06 00:00:00,26.2,23.6,29.5,4.5,,,14.5,,1008.9,
2024-01-07 00:00:00,24.5,21,29,14.2,,,12.8,,1007.9,
2024-01-08 00:00:00,24.5,20.2,28.4,23.1,,,9.6,,1008.7,
2024-01-09 00:00:00,27.6,23.5,30.5,0,,,10.1,,1010.2,
2024-01-10 00:00:00,26.2,23.6,28.7,0,,,15.5,,1009.9,
2024-01-11 00:00:00,23.8,21,29,2,,,21.1,,1015.6,
2024-01-12 00:00:00,21.2,18.5,26.3,0,,,21.4,,1017.3,
2024-01-13 00:00:00,24.6,21,29.5,0.2,,,17.6,,1012.2,
2024-01-14 00:00:00,26.9,20.5,31.6,2.9,,,10.6,,1009,
2024-01-15 00:00:00,25.5,22.3,32.6,0,,,15.5,,1010.5,
2024-01-16 00:00:00,23.3,20.5,26.7,13.8,,,16.8,,1010.9,
2024-01-17 00:00:00,23.9,20.6,26.3,0,,,16.4,,1015.8,
2024-01-18 00:00:00,24.7,22.7,27,0,,,15.4,,1011.4,
2024-01-19 00:00:00,24.9,21,28,0.3,,,15.8,,1012.8,
2024-01-20 00:00:00,22.7,19,28.5,0,,,19.6,,1016.2,
2024-01-21 00:00:00,22.6,20,26.5,0,,,21.7,,1019.5,
2024-01-22 00:00:00,23.4,21,26,0,,,18.8,,1021.9,
2024-01-23 00:00:00,23.6,12.1,26.6,0,,,21.7,,1020.1,
2024-01-24 00:00:00,24.3,21.2,27.2,0,,,21.6,,1017.7,
2024-01-25 00:00:00,25.3,22.4,28,0,,,18.2,,1017.9,
2024-01-26 00:00:00,25.3,22,28.2,0,,,20.7,,1019.2,
2024-01-27 00:00:00,24.8,21.8,28.5,0,,,21.3,,1017.4,
2024-01-28 00:00:00,24.8,22.3,28.3,0,,,19.7,,1015.6,
2024-01-29 00:00:00,25.7,23.4,28.6,0,,,14.7,,1013.9,
2024-01-30 00:00:00,27.6,24,31.3,0,,,10.5,,1012,
2024-01-31 00:00:00,29.2,26.5,31.5,0.8,,,8,,1012.4,
2024-02-01 00:00:00,30.5,26.9,34.1,0,,,11.8,,1015.3,
2024-02-02 00:00:00,29.4,26,34.2,0,,,16,,1014.9,
2024-02-03 00:00:00,29.4,25.5,32.5,0.6,,,16.9,,1011.2,
2024-02-04 00:00:00,22.8,19,33,0,,,26.2,,1016.7,
2024-02-05 00:00:00,24.1,20.6,29.4,0,,,23.3,,1014.7,
2024-02-06 00:00:00,27.8,21.6,31.8,0,,,16.6,,1014.2,
2024-02-07 00:00:00,28.9,26.5,31.5,0,,,12,,1010.9,
2024-02-08 00:00:00,27.2,23.8,30.7,0.3,,,14,,1010.2,
2024-02-09 00:00:00,26.4,22.7,31.7,0,,,17.2,,1011.2,
2024-02-10 00:00:00,26.8,24,31.2,48,,,9.5,,1009.5,
2024-02-11 00:00:00,28.4,24,31.2,0,,,7.8,,1010.4,
